method,seq_len,sample_id,ppl
ALiBi_trained,512,69,9.387013507448986
ALiBi_trained,512,70,12.14146406877407
ALiBi_trained,512,71,11.05362424221544
ALiBi_trained,512,72,10.019361939151361
ALiBi_trained,512,73,11.506129751550105
ALiBi_trained,512,74,15.09752323817625
ALiBi_trained,512,75,11.289471474922257
ALiBi_trained,512,76,10.927140588654956
ALiBi_trained,512,77,10.071626218828554
ALiBi_trained,512,78,11.155782565398452
ALiBi_trained,512,79,9.016211190570456
ALiBi_trained,512,80,11.510563738240077
ALiBi_trained,512,81,14.987932088815308
ALiBi_trained,512,82,19.10118592485101
ALiBi_trained,512,83,8.05480959842756
ALiBi_trained,512,84,14.504102818802087
ALiBi_trained,512,85,9.164683101112365
ALiBi_trained,512,86,7.846912212948126
ALiBi_trained,512,87,7.028623398902592
ALiBi_trained,512,88,9.915603057852515
ALiBi_trained,512,89,12.046478689259935
ALiBi_trained,512,90,8.793723002240757
ALiBi_trained,512,91,11.824200545733852
ALiBi_trained,512,92,11.890488131456035
ALiBi_trained,512,93,9.497245743833954
ALiBi_trained,512,94,11.489610645186485
ALiBi_trained,512,95,11.187577173655288
ALiBi_trained,512,96,13.453173560515989
ALiBi_trained,512,97,8.231946104194108
ALiBi_trained,512,98,8.75300748710649
ALiBi_trained,512,99,7.6963666801099695
ALiBi_trained,1024,0,8.749773421323548
ALiBi_trained,1024,1,6.157898414069857
ALiBi_trained,1024,2,7.3928023975407
ALiBi_trained,1024,3,8.913933666595474
